Estado,ibgeID,Pop_estimada,Leitos,Inicio,lock_1,tau lock1,lock_2,tau lock2,lock_3,tau lock3,lock_4,tau lock4,lock_5,tau lock5,lock_6,tau lock6
ACRE,12,881935,200,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
ALAGOAS,27,3337357,41,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
AMAZONAS,13,4071080,189,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
AMAPA,16,845731,8,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
BAHIA,29,14637286,429,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
CEARA,23,9132078,32,25/02/2020,16/03/2020,0.15,19/03/2020,0.33,,0.53,19/03/2020,0.15,,0.67,,0.89
DISTRITO FEDERAL,53,3015268,63,25/02/2020,14/03/2020,0.15,23/03/2020,0.33,23/03/2020,0.53,,0.15,,0.67,,0.89
ESPIRITO SANTO,32,4018650,339,25/02/2020,,0.15,,0.33,,0.53,18/03/2020,0.15,,0.67,,0.89
GOIAS,52,7018354,269,25/02/2020,20/03/2020,0.15,20/03/2020,0.33,20/03/2020,0.53,13/03/2020,0.15,,0.67,,0.89
MARANHAO,21,6952984,927,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
MINAS GERAIS,31,21168791,262,25/02/2020,15/03/2020,0.15,20/03/2020,0.33,,0.53,,0.15,,0.67,,0.89
MATO GROSSO DO SUL,50,2778986,361,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
MATO GROSSO,51,3474799,1533,25/02/2020,,0.15,,0.33,19/03/2020,0.53,18/03/2020,0.15,,0.67,,0.89
PARA,15,8594626,282,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
PARAIBA,25,4018127,120,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
PERNAMBUCO,26,9557071,1487,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
PIAUI,22,3273227,1811,25/02/2020,16/03/2020,0.15,,0.33,,0.53,19/03/2020,0.15,,0.67,,0.89
PARANA,41,11423818,437,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
RIO DE JANEIRO,33,17264943,2856,25/02/2020,13/03/2020,0.15,,0.33,27/03/2020,0.53,27/03/2020,0.15,,0.67,,0.89
RIO GRANDE DO NORTE,24,3404453,6578,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
RONDONIA,11,1247681,1715,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
RORAIMA,14,605761,620,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
RIO GRANDE DO SUL,43,11377239,991,25/02/2020,19/03/2020,0.15,19/03/2020,0.33,19/03/2020,0.53,13/03/2020,0.15,,0.67,,0.89
SANTA CATARINA,42,7164788,224,25/02/2020,19/03/2020,0.15,,0.33,19/03/2020,0.53,19/03/2020,0.15,,0.67,,0.89
SERGIPE,28,2298696,548,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
SAO PAULO,35,45919049,933,25/02/2020,23/03/2020,0.15,22/03/2020,0.33,22/03/2020,0.53,,0.15,,0.67,,0.89
TOCANTINS,17,1572866,540,25/02/2020,,0.15,,0.33,,0.53,,0.15,,0.67,,0.89
