UF,Municipio,UF_COD,ibgeID,Pop_estimada,Leitos,Inicio,lock_1,tau lock1,lock_2,tau lock2,lock_3,tau lock3,lock_4,tau lock4,lock_5,tau lock5,lock_6,tau lock6
RO,Alta Floresta D Oeste,11,1100015,22945,208,25/02/2020,,,,,,,,,,,,
RO,Ariquemes,11,1100023,107863,208,25/02/2020,,,,,,,,,,,,
RO,Cabixi,11,1100031,5312,208,25/02/2020,,,,,,,,,,,,
RO,Cacoal,11,1100049,85359,208,25/02/2020,,,,,,,,,,,,
RO,Cerejeiras,11,1100056,16323,208,25/02/2020,,,,,,,,,,,,
RO,Colorado do Oeste,11,1100064,15882,208,25/02/2020,,,,,,,,,,,,
RO,Corumbiara,11,1100072,7391,208,25/02/2020,,,,,,,,,,,,
RO,Costa Marques,11,1100080,18331,208,25/02/2020,,,,,,,,,,,,
RO,Espigao D Oeste,11,1100098,32374,208,25/02/2020,,,,,,,,,,,,
RO,Guajara-Mirim,11,1100106,46174,208,25/02/2020,,,,,,,,,,,,
RO,Jaru,11,1100114,51775,208,25/02/2020,,,,,,,,,,,,
RO,Ji-Parana,11,1100122,128969,208,25/02/2020,,,,,,,,,,,,
RO,Machadinho D Oeste,11,1100130,39991,208,25/02/2020,,,,,,,,,,,,
RO,Nova Brasilandia D Oeste,11,1100148,20474,208,25/02/2020,,,,,,,,,,,,
RO,Ouro Preto do Oeste,11,1100155,36035,208,25/02/2020,,,,,,,,,,,,
RO,Pimenta Bueno,11,1100189,36660,208,25/02/2020,,,,,,,,,,,,
RO,Porto Velho,11,1100205,529544,208,25/02/2020,,,,,,,,,,,,
RO,Presidente Medici,11,1100254,18986,208,25/02/2020,,,,,,,,,,,,
RO,Rio Crespo,11,1100262,3764,208,25/02/2020,,,,,,,,,,,,
RO,Rolim de Moura,11,1100288,55058,208,25/02/2020,,,,,,,,,,,,
RO,Santa Luzia D Oeste,11,1100296,6495,208,25/02/2020,,,,,,,,,,,,
RO,Vilhena,11,1100304,99854,208,25/02/2020,,,,,,,,,,,,
RO,Sao Miguel do Guapore,11,1100320,23005,208,25/02/2020,,,,,,,,,,,,
RO,Nova Mamore,11,1100338,30583,208,25/02/2020,,,,,,,,,,,,
RO,Alvorada D Oeste,11,1100346,14411,208,25/02/2020,,,,,,,,,,,,
