Country,Cod,Pop_est,Leitos,Inicio,lock1,tau lock1,lock2,tau lock2,lock3,tau lock3,lock4,tau lock4,lock5,tau lock5,lock6,tau lock6
Afghanistan,1,37172386,,31/12/2019,,,,,,,,,,,,
Albania,2,2866376,,31/12/2019,,,,,,,,,01/04/2020,0.67,,
Algeria,3,42228429,3,31/12/2019,23/03/2020,0.15,,,,,,,,,,
Andorra,4,77006,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Angola,5,30809762,,31/12/2019,,,,,,,,,27/03/2020,0.67,,
Anguilla,6,18090,,31/12/2019,,,,,,,,,,,,
Antigua_and_Barbuda,7,96286,,31/12/2019,,,,,,,,,30/03/2020,0.67,,
Argentina,8,44494502,,31/12/2019,,,,,,,,,31/03/2020,0.67,,
Armenia,9,2951776,,31/12/2019,,,,,24/03/2020,0.53,,,,,,
Aruba,10,105845,,31/12/2019,,,,,,,,,30/03/2020,0.67,,
Australia,11,24992369,1717,31/12/2019,,,,,,,,,31/03/2020,0.67,,
Austria,12,8847037,1202,31/12/2019,,,16/03/2020,0.33,,,,,31/03/2020,0.67,,
Azerbaijan,13,9942334,,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Bahamas,14,385640,,31/12/2019,,,,,,,,,,,,
Bahrain,15,1569439,,31/12/2019,,,,,13/03/2020,0.53,,,,,,
Bangladesh,16,161356039,,31/12/2019,,,,,14/03/2020,0.53,,,,,,
Barbados,17,286641,,31/12/2019,,,,,15/03/2020,0.53,,,,,,
Belarus,18,9485386,,31/12/2019,,,16/03/2020,0.33,16/03/2020,0.53,,,,,,
Belgium,19,11422068,1629,31/12/2019,,,16/03/2020,0.33,17/03/2020,0.53,,,,,,
Belize,20,383071,,31/12/2019,,,,,18/03/2020,0.53,,,,,,
Benin,21,11485048,,31/12/2019,,,16/03/2020,0.33,19/03/2020,0.53,,,,,,
Bermuda,22,63968,,31/12/2019,,,,,20/03/2020,0.53,,,,,,
Bhutan,23,754394,,31/12/2019,,,,,21/03/2020,0.53,,,,,,
Bolivia,24,11353142,,31/12/2019,,,16/03/2020,0.33,22/03/2020,0.53,,,,,,
"Bonaire, Saint Eustatius and Saba",25,25987,,31/12/2019,,,,,,,,,,,,
Bosnia_and_Herzegovina,26,3323929,,31/12/2019,,,,,,,,,,,,
Botswana,27,2254126,,31/12/2019,,,,,,,,,,,,
Brazil,28,209469333,23788,31/12/2019,,,,,23/03/2020,0.53,,,,,,
British_Virgin_Islands,29,29802,,31/12/2019,,,,,,,,,,,,
Brunei_Darussalam,30,428962,,31/12/2019,,,,,,,,,,,,
Bulgaria,31,7024216,462,31/12/2019,,,16/03/2020,0.33,,,,,,,,
Burkina_Faso,32,19751535,,31/12/2019,,,,,,,,,,,,
